Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
Nature Energy	2058-7546	2058-7546	"ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	60.1	1	2/460	17
CHEMICAL REVIEWS	0009-2665	1520-6890	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	55.8	1	1/239	18
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	0098-7484	1538-3598	"MEDICINE, GENERAL & INTERNAL(SCIE)"	55	1	4/332	19
Signal Transduction and Targeted Therapy	2095-9907	2059-3635	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	52.7	1	1/319	20
NATURE REVIEWS GENETICS	1471-0056	1471-0064	GENETICS & HEREDITY(SCIE)	52	1	1/191	21
Nature Reviews Gastroenterology & Hepatology	1759-5045	1759-5053	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	51	1	1/147	22
NATURE MEDICINE	1078-8956	1546-170X	"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	50	1	1/195	23
MMWR Surveillance Summaries	1545-8636	1545-8636	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	49.8	1	2/419	24
NATURE	0028-0836	1476-4687	MULTIDISCIPLINARY SCIENCES(SCIE)	48.5	1	2/135	25
SCIENCE	0036-8075	1095-9203	MULTIDISCIPLINARY SCIENCES(SCIE)	45.8	1	3/135	26
LANCET NEUROLOGY	1474-4422	1474-4465	CLINICAL NEUROLOGY(SCIE)	45.5	1	1/285	27
REVIEWS OF MODERN PHYSICS	0034-6861	1539-0756	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	44.8	1	1/114	28
Nature Catalysis	2520-1158	2520-1158	"CHEMISTRY, PHYSICAL(SCIE)"	44.6	1	1/185	29
CANCER CELL	1535-6108	1878-3686	CELL BIOLOGY(SCIE);ONCOLOGY(SCIE)	44.5	1	5/326	30
Nature Reviews Cardiology	1759-5002	1759-5010	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	44.2	1	1/230	31
BMJ-British Medical Journal	0959-535X	1756-1833	"MEDICINE, GENERAL & INTERNAL(SCIE)"	42.7	1	5/332	32
CELL	0092-8674	1097-4172	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	42.5	1	3/319	33
JOURNAL OF CLINICAL ONCOLOGY	0732-183X	1527-7755	ONCOLOGY(SCIE)	41.9	1	6/326	34
Lancet Diabetes & Endocrinology	2213-8587	2213-8595	ENDOCRINOLOGY & METABOLISM(SCIE)	41.8	1	1/191	35
NATURE BIOTECHNOLOGY	1087-0156	1546-1696	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	41.7	1	2/177	36
Nature Electronics	2520-1131	2520-1131	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	40.9	1	1/366	37
Nature Reviews Endocrinology	1759-5029	1759-5037	ENDOCRINOLOGY & METABOLISM(SCIE)	40	1	2/191	38
PROGRESS IN MATERIALS SCIENCE	0079-6425	1873-2208	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	40	1	3/460	39
Nature Reviews Nephrology	1759-5061	1759-507X	UROLOGY & NEPHROLOGY(SCIE)	39.8	1	2/133	40
CHEMICAL SOCIETY REVIEWS	0306-0012	1460-4744	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	39	1	3/239	41
CIRCULATION	0009-7322	1524-4539	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	38.6	1	1/98	42
NATURE MATERIALS	1476-1122	1476-4660	"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	38.5	1	1/79	43
REVIEWS OF GEOPHYSICS	8755-1209	1944-9208	GEOCHEMISTRY & GEOPHYSICS(SCIE)	37.3	1	1/100	44
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	0360-1285	1873-216X	"ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, MECHANICAL(SCIE);THERMODYNAMICS(SCIE)"	37	1	1/175	45
eScience	2097-2431	2667-1417	"ELECTROCHEMISTRY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	36.6	1	5/460	46
Nano-Micro Letters	2311-6706	2150-5551	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	36.3	1	2/147	47
Electrochemical Energy Reviews	2520-8489	2520-8136	ELECTROCHEMISTRY(SCIE)	36.3	1	2/44	48
LANCET ONCOLOGY	1470-2045	1474-5488	ONCOLOGY(SCIE)	35.9	1	8/326	49
EUROPEAN HEART JOURNAL	0195-668X	1522-9645	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	35.6	1	3/230	50
Joule	2542-4351	2542-4351	"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	35.4	1	3/185	51
Nature Nanotechnology	1748-3387	1748-3395	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	34.9	1	8/460	52
Annual Review of Pathology-Mechanisms of Disease	1553-4006	1553-4014	PATHOLOGY(SCIE)	34.5	1	1/90	53
Cancer Discovery	2159-8274	2159-8290	ONCOLOGY(SCIE)	33.3	1	10/326	54
Annual Review of Immunology	0732-0582	1545-3278	IMMUNOLOGY(SCIE)	33.3	1	2/183	55
iMeta	2770-5986	2770-596X	MICROBIOLOGY(SCIE)	33.2	1	2/163	56
Nature Reviews Neurology	1759-4758	1759-4766	CLINICAL NEUROLOGY(SCIE)	33.1	1	2/285	57
